state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Medsize,L3
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer3,Agent,Four-Door Car,Medsize,L3
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,L3
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate,Offer1,Call Center,SUV,Medsize,L2
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,L1
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer2,Web,Two-Door Car,Medsize,L3
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,L3
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate,Offer1,Agent,Four-Door Car,Medsize,L3
Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate,Offer1,Agent,Four-Door Car,Medsize,L3
Oregon,No,Extended,College,Employed,F,Urban,Married,Special,Offer2,Branch,Four-Door Car,Medsize,L2
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,L3
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal,Offer2,Agent,SUV,Medsize,L3
California,No,Premium,Master,Employed,M,Urban,Married,Corporate,Offer2,Agent,Four-Door Car,Medsize,L1
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,Offer2,Branch,SUV,Medsize,L3
California,No,Basic,College,Employed,M,Urban,Single,Corporate,Offer4,Call Center,Four-Door Car,Medsize,L3
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,L2
Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal,Offer2,Call Center,Two-Door Car,Medsize,L3
California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal,Offer3,Call Center,SUV,Medsize,L2
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,L2
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate,Offer1,Call Center,Four-Door Car,Small,L2
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Medsize,L2
Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal,Offer4,Call Center,Four-Door Car,Medsize,L3
Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal,Offer1,Agent,Four-Door Car,Medsize,L3
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,Offer1,Branch,Four-Door Car,Medsize,L3
California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,L2
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Large,L3
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,L3
Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate,Offer1,Branch,SUV,Medsize,L1
Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal,Offer1,Call Center,Four-Door Car,Large,L3
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Small,L3
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer4,Call Center,Four-Door Car,Small,L2
Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate,Offer2,Agent,Luxury SUV,Medsize,L2
California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,L3
Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Small,L2
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer3,Web,Four-Door Car,Medsize,L1
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,L1
California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,L3
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Offer2,Web,Four-Door Car,Small,L3
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer3,Agent,Two-Door Car,Small,L2
Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Offer1,Call Center,Four-Door Car,Medsize,L3
